timestamp,index,main_index,status,armenia_idx,armenia_signals,georgia_idx,georgia_signals,greece_idx,greece_signals,iran_idx,iran_signals,iraq_idx,iraq_signals,syria_idx,syria_signals,bulgaria_idx,bulgaria_signals,total_signals
2026-04-01T14:09:54.470266,5.02,5.02,ELEVATED,2.71,12,3.93,7,2.34,6,7.38,11,8.03,3,4.34,15,2.48,8,62
2026-04-01T15:50:04.813540,3.4,3.4,STABLE,1.74,11,3.4,12,1.0,5,6.37,9,2.02,4,5.24,10,1.0,7,58
2026-04-01T17:51:09.449153,3.8,3.8,STABLE,1.9,9,3.4,12,2.34,6,6.9,8,4.09,4,3.77,16,1.74,7,62
2026-04-01T19:48:17.308266,4.76,4.76,ELEVATED,3.22,11,1.92,11,2.92,4,8.44,8,8.4,5,3.1,14,1.0,9,62
2026-04-01T21:34:51.632754,4.73,4.73,ELEVATED,3.43,13,2.59,8,2.92,4,7.47,12,7.29,3,4.1,17,1.52,8,65
2026-04-01T23:16:35.388489,5.01,5.01,ELEVATED,3.0,10,4.38,13,1.0,3,7.2,7,7.07,6,4.58,14,4.56,5,58
2026-04-02T05:09:38.763151,5.16,5.16,ELEVATED,3.49,10,4.31,11,1.0,0,7.63,9,6.4,11,5.17,11,5.06,3,55
2026-04-02T07:59:35.730020,4.83,4.83,ELEVATED,4.19,11,4.43,2,1.0,0,8.07,12,7.29,4,3.33,14,1.0,3,46
2026-04-02T09:41:29.249513,4.41,4.41,ELEVATED,3.72,12,3.1,9,1.0,10,6.99,16,5.35,4,4.55,11,2.92,4,66
2026-04-02T11:35:44.197672,3.56,3.56,STABLE,4.2,12,4.82,5,1.0,7,6.38,7,1.0,1,4.48,13,1.0,9,54
2026-04-02T13:34:08.307202,3.62,3.62,STABLE,3.41,5,3.9,12,1.0,5,7.63,9,1.0,0,4.83,13,1.0,1,45
2026-04-02T15:17:29.581524,4.43,4.43,ELEVATED,3.17,10,2.24,4,2.57,5,7.5,6,5.26,3,5.35,14,1.0,3,45
2026-04-02T17:10:44.434580,3.71,3.71,STABLE,5.06,11,2.92,4,1.0,0,7.62,10,1.52,2,3.9,13,2.02,6,46
2026-04-02T19:07:05.632162,3.66,3.66,STABLE,3.81,9,4.43,2,3.46,3,7.08,18,1.0,0,2.99,13,3.24,8,53
2026-04-02T21:06:07.506293,4.59,4.59,ELEVATED,3.9,8,2.92,9,1.0,4,4.7,12,7.29,1,4.0,8,6.55,2,44
2026-04-02T22:50:27.959012,3.04,3.04,STABLE,3.93,7,2.24,8,1.0,4,6.43,10,1.0,0,3.72,12,1.0,0,41
2026-04-03T07:28:24.026741,3.41,3.41,STABLE,4.38,12,2.92,4,2.02,8,6.81,11,1.0,0,3.49,10,2.48,4,49
